§1\n\n_\nEs wäre kein ewiger Weg.\nKönnten wir nennen den Namen,\nEs wäre kein ewiger Name.\n	Könnten wir weisen den *Weg*,
§171\n\nUm sein Nichtwissen wissen\nIst das Höchste.\n_\nIst krankhaft.\n	Um sein Wissen nicht wissen
§171\n\nUm sein Nichtwissen wissen\nIst das Höchste.\nUm sein Wissen nicht wissen\n_\n	Ist krankhaft.
§172\n\n_\nSo nur bist du nicht krank.\nDer Heilige Mensch ist nicht krank.\nEr nennt das Kranke krank,\nDeshalb ist er nicht krank.\n	Wohl! Nenne das Kranke krank!
§172\n\nWohl! Nenne das Kranke krank!\n_\nDer Heilige Mensch ist nicht krank.\nEr nennt das Kranke krank,\nDeshalb ist er nicht krank.\n	So nur bist du nicht krank.
§172\n\nWohl! Nenne das Kranke krank!\nSo nur bist du nicht krank.\n_\nEr nennt das Kranke krank,\nDeshalb ist er nicht krank.\n	Der Heilige Mensch ist nicht krank.
§172\n\nWohl! Nenne das Kranke krank!\nSo nur bist du nicht krank.\nDer Heilige Mensch ist nicht krank.\n_\nDeshalb ist er nicht krank.\n	Er nennt das Kranke krank,
§172\n\nWohl! Nenne das Kranke krank!\nSo nur bist du nicht krank.\nDer Heilige Mensch ist nicht krank.\nEr nennt das Kranke krank,\n_\n	Deshalb ist er nicht krank.
§173\n\n_\nHast du die größte Macht erlangt.\nEnge nicht ein, worauf sie wohnen!\nMache nicht mühsam, wovon sie leben!\nWohl, nur wenn du sie nicht mühst,\nWerden sie deiner nicht müde.\n	Erst wenn das Volk vor deiner Macht nicht bangt,
§173\n\nErst wenn das Volk vor deiner Macht nicht bangt,\n_\nEnge nicht ein, worauf sie wohnen!\nMache nicht mühsam, wovon sie leben!\nWohl, nur wenn du sie nicht mühst,\nWerden sie deiner nicht müde.\n	Hast du die größte Macht erlangt.
§173\n\nErst wenn das Volk vor deiner Macht nicht bangt,\nHast du die größte Macht erlangt.\n_\nMache nicht mühsam, wovon sie leben!\nWohl, nur wenn du sie nicht mühst,\nWerden sie deiner nicht müde.\n	Enge nicht ein, worauf sie wohnen!
§173\n\nErst wenn das Volk vor deiner Macht nicht bangt,\nHast du die größte Macht erlangt.\nEnge nicht ein, worauf sie wohnen!\n_\nWohl, nur wenn du sie nicht mühst,\nWerden sie deiner nicht müde.\n	Mache nicht mühsam, wovon sie leben!
§173\n\nErst wenn das Volk vor deiner Macht nicht bangt,\nHast du die größte Macht erlangt.\nEnge nicht ein, worauf sie wohnen!\nMache nicht mühsam, wovon sie leben!\n_\nWerden sie deiner nicht müde.\n	Wohl, nur wenn du sie nicht mühst,
§173\n\nErst wenn das Volk vor deiner Macht nicht bangt,\nHast du die größte Macht erlangt.\nEnge nicht ein, worauf sie wohnen!\nMache nicht mühsam, wovon sie leben!\nWohl, nur wenn du sie nicht mühst,\n_\n	Werden sie deiner nicht müde.
§174\n\n_\nEr kennt sich selbst,\nAber sieht sich nicht;\nEr schont sich selbst,\nAber ehrt sich nicht.\nWahrlich:\nVon jenem laß! Dieses erfaß!\n	Deshalb der Heilige Mensch:
§174\n\nDeshalb der Heilige Mensch:\n_\nAber sieht sich nicht;\nEr schont sich selbst,\nAber ehrt sich nicht.\nWahrlich:\nVon jenem laß! Dieses erfaß!\n	Er kennt sich selbst,
§174\n\nDeshalb der Heilige Mensch:\nEr kennt sich selbst,\n_\nEr schont sich selbst,\nAber ehrt sich nicht.\nWahrlich:\nVon jenem laß! Dieses erfaß!\n	Aber sieht sich nicht;
§174\n\nDeshalb der Heilige Mensch:\nEr kennt sich selbst,\nAber sieht sich nicht;\n_\nAber ehrt sich nicht.\nWahrlich:\nVon jenem laß! Dieses erfaß!\n	Er schont sich selbst,
§174\n\nDeshalb der Heilige Mensch:\nEr kennt sich selbst,\nAber sieht sich nicht;\nEr schont sich selbst,\n_\nWahrlich:\nVon jenem laß! Dieses erfaß!\n	Aber ehrt sich nicht.
§174\n\nDeshalb der Heilige Mensch:\nEr kennt sich selbst,\nAber sieht sich nicht;\nEr schont sich selbst,\nAber ehrt sich nicht.\n_\nVon jenem laß! Dieses erfaß!\n	Wahrlich:
§174\n\nDeshalb der Heilige Mensch:\nEr kennt sich selbst,\nAber sieht sich nicht;\nEr schont sich selbst,\nAber ehrt sich nicht.\nWahrlich:\n_\n	Von jenem laß! Dieses erfaß!
§175\n\n_\nMutig sein beim Nicht-Wagen bedeutet Leben.\nVon diesen beiden\nBringt eines Nutzen, das andere Schaden.\nWas der Himmel haßt,\nWer kennt den Grund davon?\n	Mutig sein beim Wagen bedeutet Tod;
§175\n\nMutig sein beim Wagen bedeutet Tod;\n_\nVon diesen beiden\nBringt eines Nutzen, das andere Schaden.\nWas der Himmel haßt,\nWer kennt den Grund davon?\n	Mutig sein beim Nicht-Wagen bedeutet Leben.
§175\n\nMutig sein beim Wagen bedeutet Tod;\nMutig sein beim Nicht-Wagen bedeutet Leben.\n_\nBringt eines Nutzen, das andere Schaden.\nWas der Himmel haßt,\nWer kennt den Grund davon?\n	Von diesen beiden
§175\n\nMutig sein beim Wagen bedeutet Tod;\nMutig sein beim Nicht-Wagen bedeutet Leben.\nVon diesen beiden\n_\nWas der Himmel haßt,\nWer kennt den Grund davon?\n	Bringt eines Nutzen, das andere Schaden.
§175\n\nMutig sein beim Wagen bedeutet Tod;\nMutig sein beim Nicht-Wagen bedeutet Leben.\nVon diesen beiden\nBringt eines Nutzen, das andere Schaden.\n_\nWer kennt den Grund davon?\n	Was der Himmel haßt,
§175\n\nMutig sein beim Wagen bedeutet Tod;\nMutig sein beim Nicht-Wagen bedeutet Leben.\nVon diesen beiden\nBringt eines Nutzen, das andere Schaden.\nWas der Himmel haßt,\n_\n	Wer kennt den Grund davon?
§150\n\n_\nGleichsam tut er sich schwer.)\n	(Deshalb der Heilige Mensch:
§150\n\n(Deshalb der Heilige Mensch:\n_\n	Gleichsam tut er sich schwer.)
§176\n\n_\nEr streitet nicht\nUnd ist dennoch gut im Siegen;\nEr redet nicht\nUnd ist dennoch gut, Antwort zu geben;\nEr ruft nicht auf,\nUnd dennoch kommt alles von selbst;\nSanft ist er\nUnd ist dennoch gut im Planen.\n	Des Himmels Weg:
§176\n\nDes Himmels Weg:\n_\nUnd ist dennoch gut im Siegen;\nEr redet nicht\nUnd ist dennoch gut, Antwort zu geben;\nEr ruft nicht auf,\nUnd dennoch kommt alles von selbst;\nSanft ist er\nUnd ist dennoch gut im Planen.\n	Er streitet nicht
§176\n\nDes Himmels Weg:\nEr streitet nicht\n_\nEr redet nicht\nUnd ist dennoch gut, Antwort zu geben;\nEr ruft nicht auf,\nUnd dennoch kommt alles von selbst;\nSanft ist er\nUnd ist dennoch gut im Planen.\n	Und ist dennoch gut im Siegen;
§176\n\nDes Himmels Weg:\nEr streitet nicht\nUnd ist dennoch gut im Siegen;\n_\nUnd ist dennoch gut, Antwort zu geben;\nEr ruft nicht auf,\nUnd dennoch kommt alles von selbst;\nSanft ist er\nUnd ist dennoch gut im Planen.\n	Er redet nicht
§176\n\nDes Himmels Weg:\nEr streitet nicht\nUnd ist dennoch gut im Siegen;\nEr redet nicht\n_\nEr ruft nicht auf,\nUnd dennoch kommt alles von selbst;\nSanft ist er\nUnd ist dennoch gut im Planen.\n	Und ist dennoch gut, Antwort zu geben;
§176\n\nDes Himmels Weg:\nEr streitet nicht\nUnd ist dennoch gut im Siegen;\nEr redet nicht\nUnd ist dennoch gut, Antwort zu geben;\n_\nUnd dennoch kommt alles von selbst;\nSanft ist er\nUnd ist dennoch gut im Planen.\n	Er ruft nicht auf,
§176\n\nDes Himmels Weg:\nEr streitet nicht\nUnd ist dennoch gut im Siegen;\nEr redet nicht\nUnd ist dennoch gut, Antwort zu geben;\nEr ruft nicht auf,\n_\nSanft ist er\nUnd ist dennoch gut im Planen.\n	Und dennoch kommt alles von selbst;
§176\n\nDes Himmels Weg:\nEr streitet nicht\nUnd ist dennoch gut im Siegen;\nEr redet nicht\nUnd ist dennoch gut, Antwort zu geben;\nEr ruft nicht auf,\nUnd dennoch kommt alles von selbst;\n_\nUnd ist dennoch gut im Planen.\n	Sanft ist er
§176\n\nDes Himmels Weg:\nEr streitet nicht\nUnd ist dennoch gut im Siegen;\nEr redet nicht\nUnd ist dennoch gut, Antwort zu geben;\nEr ruft nicht auf,\nUnd dennoch kommt alles von selbst;\nSanft ist er\n_\n	Und ist dennoch gut im Planen.
§177\n\n_\nSo groß die Maschen –\nDennoch entgeht ihm nichts.\n	Des Himmels Netz ist endlos weit;
§177\n\nDes Himmels Netz ist endlos weit;\n_\nDennoch entgeht ihm nichts.\n	So groß die Maschen –
§177\n\nDes Himmels Netz ist endlos weit;\nSo groß die Maschen –\n_\n	Dennoch entgeht ihm nichts.
§178\n\n_\nWarum es dann mit dem Tode schrecken?\nGesetz aber, man wirkte,\nDaß das Volk ständig den Tod fürchtet,\nUnd sie täten Ordnungswidriges:\nWer von uns wagte, sie grfeine und töten zu lassen?\nStändig ist ein Scharfrichter da, der richtet.\nStatt des Scharfrichters zu richten,\nDas hießet »statt des Zimmermanns hobeln«.\nWohl! Wenn einer statt des Zimmermanns hobelt,\nIsts selten, daß er sich nicht die Hand verletzt.\n	Wenn das Volk nicht vor dem Tode bangt,
§178\n\nWenn das Volk nicht vor dem Tode bangt,\n_\nGesetz aber, man wirkte,\nDaß das Volk ständig den Tod fürchtet,\nUnd sie täten Ordnungswidriges:\nWer von uns wagte, sie grfeine und töten zu lassen?\nStändig ist ein Scharfrichter da, der richtet.\nStatt des Scharfrichters zu richten,\nDas hießet »statt des Zimmermanns hobeln«.\nWohl! Wenn einer statt des Zimmermanns hobelt,\nIsts selten, daß er sich nicht die Hand verletzt.\n	Warum es dann mit dem Tode schrecken?
§178\n\nWenn das Volk nicht vor dem Tode bangt,\nWarum es dann mit dem Tode schrecken?\n_\nDaß das Volk ständig den Tod fürchtet,\nUnd sie täten Ordnungswidriges:\nWer von uns wagte, sie grfeine und töten zu lassen?\nStändig ist ein Scharfrichter da, der richtet.\nStatt des Scharfrichters zu richten,\nDas hießet »statt des Zimmermanns hobeln«.\nWohl! Wenn einer statt des Zimmermanns hobelt,\nIsts selten, daß er sich nicht die Hand verletzt.\n	Gesetz aber, man wirkte,
§178\n\nWenn das Volk nicht vor dem Tode bangt,\nWarum es dann mit dem Tode schrecken?\nGesetz aber, man wirkte,\n_\nUnd sie täten Ordnungswidriges:\nWer von uns wagte, sie grfeine und töten zu lassen?\nStändig ist ein Scharfrichter da, der richtet.\nStatt des Scharfrichters zu richten,\nDas hießet »statt des Zimmermanns hobeln«.\nWohl! Wenn einer statt des Zimmermanns hobelt,\nIsts selten, daß er sich nicht die Hand verletzt.\n	Daß das Volk ständig den Tod fürchtet,
§178\n\nWenn das Volk nicht vor dem Tode bangt,\nWarum es dann mit dem Tode schrecken?\nGesetz aber, man wirkte,\nDaß das Volk ständig den Tod fürchtet,\n_\nWer von uns wagte, sie grfeine und töten zu lassen?\nStändig ist ein Scharfrichter da, der richtet.\nStatt des Scharfrichters zu richten,\nDas hießet »statt des Zimmermanns hobeln«.\nWohl! Wenn einer statt des Zimmermanns hobelt,\nIsts selten, daß er sich nicht die Hand verletzt.\n	Und sie täten Ordnungswidriges:
§178\n\nWenn das Volk nicht vor dem Tode bangt,\nWarum es dann mit dem Tode schrecken?\nGesetz aber, man wirkte,\nDaß das Volk ständig den Tod fürchtet,\nUnd sie täten Ordnungswidriges:\n_\nStändig ist ein Scharfrichter da, der richtet.\nStatt des Scharfrichters zu richten,\nDas hießet »statt des Zimmermanns hobeln«.\nWohl! Wenn einer statt des Zimmermanns hobelt,\nIsts selten, daß er sich nicht die Hand verletzt.\n	Wer von uns wagte, sie grfeine und töten zu lassen?
§178\n\nWenn das Volk nicht vor dem Tode bangt,\nWarum es dann mit dem Tode schrecken?\nGesetz aber, man wirkte,\nDaß das Volk ständig den Tod fürchtet,\nUnd sie täten Ordnungswidriges:\nWer von uns wagte, sie grfeine und töten zu lassen?\n_\nStatt des Scharfrichters zu richten,\nDas hießet »statt des Zimmermanns hobeln«.\nWohl! Wenn einer statt des Zimmermanns hobelt,\nIsts selten, daß er sich nicht die Hand verletzt.\n	Ständig ist ein Scharfrichter da, der richtet.
§178\n\nWenn das Volk nicht vor dem Tode bangt,\nWarum es dann mit dem Tode schrecken?\nGesetz aber, man wirkte,\nDaß das Volk ständig den Tod fürchtet,\nUnd sie täten Ordnungswidriges:\nWer von uns wagte, sie grfeine und töten zu lassen?\nStändig ist ein Scharfrichter da, der richtet.\n_\nDas hießet »statt des Zimmermanns hobeln«.\nWohl! Wenn einer statt des Zimmermanns hobelt,\nIsts selten, daß er sich nicht die Hand verletzt.\n	Statt des Scharfrichters zu richten,
§178\n\nWenn das Volk nicht vor dem Tode bangt,\nWarum es dann mit dem Tode schrecken?\nGesetz aber, man wirkte,\nDaß das Volk ständig den Tod fürchtet,\nUnd sie täten Ordnungswidriges:\nWer von uns wagte, sie grfeine und töten zu lassen?\nStändig ist ein Scharfrichter da, der richtet.\nStatt des Scharfrichters zu richten,\n_\nWohl! Wenn einer statt des Zimmermanns hobelt,\nIsts selten, daß er sich nicht die Hand verletzt.\n	Das hießet »statt des Zimmermanns hobeln«.
§178\n\nWenn das Volk nicht vor dem Tode bangt,\nWarum es dann mit dem Tode schrecken?\nGesetz aber, man wirkte,\nDaß das Volk ständig den Tod fürchtet,\nUnd sie täten Ordnungswidriges:\nWer von uns wagte, sie grfeine und töten zu lassen?\nStändig ist ein Scharfrichter da, der richtet.\nStatt des Scharfrichters zu richten,\nDas hießet »statt des Zimmermanns hobeln«.\n_\nIsts selten, daß er sich nicht die Hand verletzt.\n	Wohl! Wenn einer statt des Zimmermanns hobelt,
§178\n\nWenn das Volk nicht vor dem Tode bangt,\nWarum es dann mit dem Tode schrecken?\nGesetz aber, man wirkte,\nDaß das Volk ständig den Tod fürchtet,\nUnd sie täten Ordnungswidriges:\nWer von uns wagte, sie grfeine und töten zu lassen?\nStändig ist ein Scharfrichter da, der richtet.\nStatt des Scharfrichters zu richten,\nDas hießet »statt des Zimmermanns hobeln«.\nWohl! Wenn einer statt des Zimmermanns hobelt,\n_\n	Ists selten, daß er sich nicht die Hand verletzt.
§179\n\n_\nWeil der Steuern, die seine Oberen verzehren,\nZu viel sind. Nur darum hungert es.\nWenn das Volk schwer zu regieren ist, so darum,\nWeil seine Oberen tätig sind.\nNur darum ist es schwer zu regieren.\nWenn das Volk den Tod gering achtet, so darum,\nWeil es dem Leben zu völlig nachgeht.\nNur darum achtet es den Tod gering.\n	Wenn das Volk hungert, so darum,
§179\n\nWenn das Volk hungert, so darum,\n_\nZu viel sind. Nur darum hungert es.\nWenn das Volk schwer zu regieren ist, so darum,\nWeil seine Oberen tätig sind.\nNur darum ist es schwer zu regieren.\nWenn das Volk den Tod gering achtet, so darum,\nWeil es dem Leben zu völlig nachgeht.\nNur darum achtet es den Tod gering.\n	Weil der Steuern, die seine Oberen verzehren,
§179\n\nWenn das Volk hungert, so darum,\nWeil der Steuern, die seine Oberen verzehren,\n_\nWenn das Volk schwer zu regieren ist, so darum,\nWeil seine Oberen tätig sind.\nNur darum ist es schwer zu regieren.\nWenn das Volk den Tod gering achtet, so darum,\nWeil es dem Leben zu völlig nachgeht.\nNur darum achtet es den Tod gering.\n	Zu viel sind. Nur darum hungert es.
§179\n\nWenn das Volk hungert, so darum,\nWeil der Steuern, die seine Oberen verzehren,\nZu viel sind. Nur darum hungert es.\n_\nWeil seine Oberen tätig sind.\nNur darum ist es schwer zu regieren.\nWenn das Volk den Tod gering achtet, so darum,\nWeil es dem Leben zu völlig nachgeht.\nNur darum achtet es den Tod gering.\n	Wenn das Volk schwer zu regieren ist, so darum,
§179\n\nWenn das Volk hungert, so darum,\nWeil der Steuern, die seine Oberen verzehren,\nZu viel sind. Nur darum hungert es.\nWenn das Volk schwer zu regieren ist, so darum,\n_\nNur darum ist es schwer zu regieren.\nWenn das Volk den Tod gering achtet, so darum,\nWeil es dem Leben zu völlig nachgeht.\nNur darum achtet es den Tod gering.\n	Weil seine Oberen tätig sind.
§179\n\nWenn das Volk hungert, so darum,\nWeil der Steuern, die seine Oberen verzehren,\nZu viel sind. Nur darum hungert es.\nWenn das Volk schwer zu regieren ist, so darum,\nWeil seine Oberen tätig sind.\n_\nWenn das Volk den Tod gering achtet, so darum,\nWeil es dem Leben zu völlig nachgeht.\nNur darum achtet es den Tod gering.\n	Nur darum ist es schwer zu regieren.
§179\n\nWenn das Volk hungert, so darum,\nWeil der Steuern, die seine Oberen verzehren,\nZu viel sind. Nur darum hungert es.\nWenn das Volk schwer zu regieren ist, so darum,\nWeil seine Oberen tätig sind.\nNur darum ist es schwer zu regieren.\n_\nWeil es dem Leben zu völlig nachgeht.\nNur darum achtet es den Tod gering.\n	Wenn das Volk den Tod gering achtet, so darum,
§179\n\nWenn das Volk hungert, so darum,\nWeil der Steuern, die seine Oberen verzehren,\nZu viel sind. Nur darum hungert es.\nWenn das Volk schwer zu regieren ist, so darum,\nWeil seine Oberen tätig sind.\nNur darum ist es schwer zu regieren.\nWenn das Volk den Tod gering achtet, so darum,\n_\nNur darum achtet es den Tod gering.\n	Weil es dem Leben zu völlig nachgeht.
§179\n\nWenn das Volk hungert, so darum,\nWeil der Steuern, die seine Oberen verzehren,\nZu viel sind. Nur darum hungert es.\nWenn das Volk schwer zu regieren ist, so darum,\nWeil seine Oberen tätig sind.\nNur darum ist es schwer zu regieren.\nWenn das Volk den Tod gering achtet, so darum,\nWeil es dem Leben zu völlig nachgeht.\n_\n	Nur darum achtet es den Tod gering.
§180\n\n_\nWodurch das Leben schätzenswert,\nIst besser, als das Leben wertzuschätzen.\n	Wohl! Nicht zu haben,
§180\n\nWohl! Nicht zu haben,\n_\nIst besser, als das Leben wertzuschätzen.\n	Wodurch das Leben schätzenswert,
§180\n\nWohl! Nicht zu haben,\nWodurch das Leben schätzenswert,\n_\n	Ist besser, als das Leben wertzuschätzen.
§181\n\n_\nIst er weich und schwach;\nWenn er stirbt,\nIst er fest und stark.\nWenn die zehntausend Wesen,\nWenn Gräser und Bäume wachsen,\nDann sind sie weich und saftig;\nDoch wenn sie absterben,\nDann sind sie dürr und trocken.\nWahrlich:\nDas Feste, Starke ist des Todes Begleiter;\nDas Weich, Schwache des Lebens Begleiter.\n	Wenn den Mensch geboren wird,
§181\n\nWenn den Mensch geboren wird,\n_\nWenn er stirbt,\nIst er fest und stark.\nWenn die zehntausend Wesen,\nWenn Gräser und Bäume wachsen,\nDann sind sie weich und saftig;\nDoch wenn sie absterben,\nDann sind sie dürr und trocken.\nWahrlich:\nDas Feste, Starke ist des Todes Begleiter;\nDas Weich, Schwache des Lebens Begleiter.\n	Ist er weich und schwach;
§181\n\nWenn den Mensch geboren wird,\nIst er weich und schwach;\n_\nIst er fest und stark.\nWenn die zehntausend Wesen,\nWenn Gräser und Bäume wachsen,\nDann sind sie weich und saftig;\nDoch wenn sie absterben,\nDann sind sie dürr und trocken.\nWahrlich:\nDas Feste, Starke ist des Todes Begleiter;\nDas Weich, Schwache des Lebens Begleiter.\n	Wenn er stirbt,
§181\n\nWenn den Mensch geboren wird,\nIst er weich und schwach;\nWenn er stirbt,\n_\nWenn die zehntausend Wesen,\nWenn Gräser und Bäume wachsen,\nDann sind sie weich und saftig;\nDoch wenn sie absterben,\nDann sind sie dürr und trocken.\nWahrlich:\nDas Feste, Starke ist des Todes Begleiter;\nDas Weich, Schwache des Lebens Begleiter.\n	Ist er fest und stark.
§181\n\nWenn den Mensch geboren wird,\nIst er weich und schwach;\nWenn er stirbt,\nIst er fest und stark.\n_\nWenn Gräser und Bäume wachsen,\nDann sind sie weich und saftig;\nDoch wenn sie absterben,\nDann sind sie dürr und trocken.\nWahrlich:\nDas Feste, Starke ist des Todes Begleiter;\nDas Weich, Schwache des Lebens Begleiter.\n	Wenn die zehntausend Wesen,
§181\n\nWenn den Mensch geboren wird,\nIst er weich und schwach;\nWenn er stirbt,\nIst er fest und stark.\nWenn die zehntausend Wesen,\n_\nDann sind sie weich und saftig;\nDoch wenn sie absterben,\nDann sind sie dürr und trocken.\nWahrlich:\nDas Feste, Starke ist des Todes Begleiter;\nDas Weich, Schwache des Lebens Begleiter.\n	Wenn Gräser und Bäume wachsen,
§181\n\nWenn den Mensch geboren wird,\nIst er weich und schwach;\nWenn er stirbt,\nIst er fest und stark.\nWenn die zehntausend Wesen,\nWenn Gräser und Bäume wachsen,\n_\nDoch wenn sie absterben,\nDann sind sie dürr und trocken.\nWahrlich:\nDas Feste, Starke ist des Todes Begleiter;\nDas Weich, Schwache des Lebens Begleiter.\n	Dann sind sie weich und saftig;
§181\n\nWenn den Mensch geboren wird,\nIst er weich und schwach;\nWenn er stirbt,\nIst er fest und stark.\nWenn die zehntausend Wesen,\nWenn Gräser und Bäume wachsen,\nDann sind sie weich und saftig;\n_\nDann sind sie dürr und trocken.\nWahrlich:\nDas Feste, Starke ist des Todes Begleiter;\nDas Weich, Schwache des Lebens Begleiter.\n	Doch wenn sie absterben,
§181\n\nWenn den Mensch geboren wird,\nIst er weich und schwach;\nWenn er stirbt,\nIst er fest und stark.\nWenn die zehntausend Wesen,\nWenn Gräser und Bäume wachsen,\nDann sind sie weich und saftig;\nDoch wenn sie absterben,\n_\nWahrlich:\nDas Feste, Starke ist des Todes Begleiter;\nDas Weich, Schwache des Lebens Begleiter.\n	Dann sind sie dürr und trocken.
§181\n\nWenn den Mensch geboren wird,\nIst er weich und schwach;\nWenn er stirbt,\nIst er fest und stark.\nWenn die zehntausend Wesen,\nWenn Gräser und Bäume wachsen,\nDann sind sie weich und saftig;\nDoch wenn sie absterben,\nDann sind sie dürr und trocken.\n_\nDas Feste, Starke ist des Todes Begleiter;\nDas Weich, Schwache des Lebens Begleiter.\n	Wahrlich:
§181\n\nWenn den Mensch geboren wird,\nIst er weich und schwach;\nWenn er stirbt,\nIst er fest und stark.\nWenn die zehntausend Wesen,\nWenn Gräser und Bäume wachsen,\nDann sind sie weich und saftig;\nDoch wenn sie absterben,\nDann sind sie dürr und trocken.\nWahrlich:\n_\nDas Weich, Schwache des Lebens Begleiter.\n	Das Feste, Starke ist des Todes Begleiter;
§181\n\nWenn den Mensch geboren wird,\nIst er weich und schwach;\nWenn er stirbt,\nIst er fest und stark.\nWenn die zehntausend Wesen,\nWenn Gräser und Bäume wachsen,\nDann sind sie weich und saftig;\nDoch wenn sie absterben,\nDann sind sie dürr und trocken.\nWahrlich:\nDas Feste, Starke ist des Todes Begleiter;\n_\n	Das Weich, Schwache des Lebens Begleiter.
§182\n\n_\nSind die Waffen stark, dann siegen sie nicht.\nSind die Bäume stark, dann werden sie gefällt.\nDas Starke, Große liegt darnieder;\nDas Weiche, Schwache ist hochgestellt.\n	Deshalb:
§182\n\nDeshalb:\n_\nSind die Bäume stark, dann werden sie gefällt.\nDas Starke, Große liegt darnieder;\nDas Weiche, Schwache ist hochgestellt.\n	Sind die Waffen stark, dann siegen sie nicht.
§182\n\nDeshalb:\nSind die Waffen stark, dann siegen sie nicht.\n_\nDas Starke, Große liegt darnieder;\nDas Weiche, Schwache ist hochgestellt.\n	Sind die Bäume stark, dann werden sie gefällt.
§182\n\nDeshalb:\nSind die Waffen stark, dann siegen sie nicht.\nSind die Bäume stark, dann werden sie gefällt.\n_\nDas Weiche, Schwache ist hochgestellt.\n	Das Starke, Große liegt darnieder;
§182\n\nDeshalb:\nSind die Waffen stark, dann siegen sie nicht.\nSind die Bäume stark, dann werden sie gefällt.\nDas Starke, Große liegt darnieder;\n_\n	Das Weiche, Schwache ist hochgestellt.
§183\n\n_\nWas hoch ist, wird niedergedrückt;\nWas tief ist, nach oben gezogen;\nWas zu viel ist, wird vermindert;\nWas unzureichend, wird aufgewogen.\nSo auch des Himmels Weg:\nEr mindert das, was zu viel,\nUnd wiegt auf, was unzureichend ist.\nDoch der Menschen Weg ist anders:\nSie mindern die, bei denen es nicht reicht,\nUm es darzubringen denen, die zu viel haben.\n	Des Himmels Weg, wie gleicht er dem Bogenspannen!
§183\n\nDes Himmels Weg, wie gleicht er dem Bogenspannen!\n_\nWas tief ist, nach oben gezogen;\nWas zu viel ist, wird vermindert;\nWas unzureichend, wird aufgewogen.\nSo auch des Himmels Weg:\nEr mindert das, was zu viel,\nUnd wiegt auf, was unzureichend ist.\nDoch der Menschen Weg ist anders:\nSie mindern die, bei denen es nicht reicht,\nUm es darzubringen denen, die zu viel haben.\n	Was hoch ist, wird niedergedrückt;
§183\n\nDes Himmels Weg, wie gleicht er dem Bogenspannen!\nWas hoch ist, wird niedergedrückt;\n_\nWas zu viel ist, wird vermindert;\nWas unzureichend, wird aufgewogen.\nSo auch des Himmels Weg:\nEr mindert das, was zu viel,\nUnd wiegt auf, was unzureichend ist.\nDoch der Menschen Weg ist anders:\nSie mindern die, bei denen es nicht reicht,\nUm es darzubringen denen, die zu viel haben.\n	Was tief ist, nach oben gezogen;
§183\n\nDes Himmels Weg, wie gleicht er dem Bogenspannen!\nWas hoch ist, wird niedergedrückt;\nWas tief ist, nach oben gezogen;\n_\nWas unzureichend, wird aufgewogen.\nSo auch des Himmels Weg:\nEr mindert das, was zu viel,\nUnd wiegt auf, was unzureichend ist.\nDoch der Menschen Weg ist anders:\nSie mindern die, bei denen es nicht reicht,\nUm es darzubringen denen, die zu viel haben.\n	Was zu viel ist, wird vermindert;
§183\n\nDes Himmels Weg, wie gleicht er dem Bogenspannen!\nWas hoch ist, wird niedergedrückt;\nWas tief ist, nach oben gezogen;\nWas zu viel ist, wird vermindert;\n_\nSo auch des Himmels Weg:\nEr mindert das, was zu viel,\nUnd wiegt auf, was unzureichend ist.\nDoch der Menschen Weg ist anders:\nSie mindern die, bei denen es nicht reicht,\nUm es darzubringen denen, die zu viel haben.\n	Was unzureichend, wird aufgewogen.
§183\n\nDes Himmels Weg, wie gleicht er dem Bogenspannen!\nWas hoch ist, wird niedergedrückt;\nWas tief ist, nach oben gezogen;\nWas zu viel ist, wird vermindert;\nWas unzureichend, wird aufgewogen.\n_\nEr mindert das, was zu viel,\nUnd wiegt auf, was unzureichend ist.\nDoch der Menschen Weg ist anders:\nSie mindern die, bei denen es nicht reicht,\nUm es darzubringen denen, die zu viel haben.\n	So auch des Himmels Weg:
§183\n\nDes Himmels Weg, wie gleicht er dem Bogenspannen!\nWas hoch ist, wird niedergedrückt;\nWas tief ist, nach oben gezogen;\nWas zu viel ist, wird vermindert;\nWas unzureichend, wird aufgewogen.\nSo auch des Himmels Weg:\n_\nUnd wiegt auf, was unzureichend ist.\nDoch der Menschen Weg ist anders:\nSie mindern die, bei denen es nicht reicht,\nUm es darzubringen denen, die zu viel haben.\n	Er mindert das, was zu viel,
§183\n\nDes Himmels Weg, wie gleicht er dem Bogenspannen!\nWas hoch ist, wird niedergedrückt;\nWas tief ist, nach oben gezogen;\nWas zu viel ist, wird vermindert;\nWas unzureichend, wird aufgewogen.\nSo auch des Himmels Weg:\nEr mindert das, was zu viel,\n_\nDoch der Menschen Weg ist anders:\nSie mindern die, bei denen es nicht reicht,\nUm es darzubringen denen, die zu viel haben.\n	Und wiegt auf, was unzureichend ist.
§183\n\nDes Himmels Weg, wie gleicht er dem Bogenspannen!\nWas hoch ist, wird niedergedrückt;\nWas tief ist, nach oben gezogen;\nWas zu viel ist, wird vermindert;\nWas unzureichend, wird aufgewogen.\nSo auch des Himmels Weg:\nEr mindert das, was zu viel,\nUnd wiegt auf, was unzureichend ist.\n_\nSie mindern die, bei denen es nicht reicht,\nUm es darzubringen denen, die zu viel haben.\n	Doch der Menschen Weg ist anders:
